month,revenue,expenses,profit,customers,churn_rate,status
Jan 2025,42000,28000,14000,320,3.2%,Complete
Feb 2025,45500,29000,16500,345,2.8%,Complete
Mar 2025,51000,31000,20000,382,2.5%,Complete
Apr 2025,48000,30500,17500,401,3.1%,Complete
May 2025,55000,33000,22000,428,2.3%,Complete
Jun 2025,62000,36000,26000,467,2.1%,Complete
Jul 2025,58000,35000,23000,489,2.7%,Complete
Aug 2025,67000,38000,29000,521,1.9%,Complete
Sep 2025,72000,40000,32000,558,1.8%,Complete
Oct 2025,69000,39500,29500,579,2.4%,Complete
Nov 2025,78000,43000,35000,612,1.6%,Complete
Dec 2025,85000,46000,39000,651,1.5%,Complete
Jan 2026,82000,45000,37000,673,2.0%,Pending
Feb 2026,91000,48000,43000,710,1.4%,Pending
